Framework,Control ID,Control Name,Status,Severity,Evidence,Recommendation
ISO 27001,A.8.8,Management of technical vulnerabilities,Compliant,Low,"Vendor questionnaire states critical patches applied within 48 hours, high within 14 days, and monthly patching cycle with out-of-band patching for critical CVEs. SOC 2 report confirms weekly Tenable.io scans, annual Fox-IT penetration test (September 2025), and CC7.1 test found no exceptions — all critical and high vulnerabilities remediated within SLA during the audit period.",No immediate action required. Consider publishing a formal vulnerability disclosure policy (VDP) for external researchers.
ISO 27001,A.8.12,Data leakage prevention,Gap,High,"No evidence of data leakage prevention (DLP) controls, policies, or tooling is mentioned in any of the three documents reviewed, despite the vendor processing client financial records and personal identifiers.","Implement and document DLP controls covering data in use, in motion, and at rest. Given the financial data processed, DLP controls are particularly critical and their absence represents a material gap."
ISO 27001,A.8.24,Use of cryptography,Partial,Medium,"Vendor questionnaire and SOC 2 report confirm AES-256 encryption at rest and TLS 1.3 for data in transit. Backups are encrypted with a separate key from production. However, the ISO 27001 certificate (most recent audit) identified a minor non-conformity: 'Documentation of cryptographic key rotation procedure was not updated after key management system upgrade' — remediated within 30 days. No formal cryptographic policy document is referenced.",Confirm that the key rotation procedure documentation has been fully updated and approved following remediation of the minor non-conformity. Provide a copy of the formal cryptographic policy referenced in the SoA.
ISO 27001,A.8.28,Secure coding,Compliant,Low,SOC 2 report states: 'Code reviewed via pull request process; automated SAST scanning on all commits.' Production changes require approval from two senior engineers. Emergency changes require post-implementation review within 24 hours.,"Consider adding dynamic application security testing (DAST) and software composition analysis (SCA) to complement existing SAST controls, particularly for third-party dependencies."
NIS2,Art.21-RM,Cybersecurity risk management,Partial,Medium,"Vendor questionnaire references a board-approved information security policy reviewed annually. ISO 27001 certification with SoA version 3.2 implies a risk treatment process exists. However, no explicit mention of a documented cybersecurity risk management policy or the frequency of formal risk assessments is provided in any document.","Provide documentation of the cybersecurity risk management policy and evidence of regular (at minimum annual) risk assessments, including risk treatment records, to demonstrate NIS2 Article 21 compliance."
NIS2,Art.21-IH,Incident handling and reporting timelines,Compliant,Low,"Vendor questionnaire states: 'Regulatory reporting per NIS2 timelines.' NCSC contact point is registered. SOC 2 report confirms documented incident response policy tested via tabletop exercise Q2 2025, P1 client notification within 2 hours, and security incidents reported to Dutch NCSC per regulatory obligations. Three-tier severity model (P1/P2/P3) is in place.","Confirm that internal procedures explicitly reference the NIS2 24-hour early warning, 72-hour notification, and 1-month final report obligations in writing, and that these are tested in tabletop exercises."
NIS2,Art.21-BC,"Business continuity, backup and disaster recovery",Compliant,Low,"Vendor questionnaire and SOC 2 report confirm: board-approved BCP, RTO of 4 hours, RPO of 1 hour, 90-day encrypted backups stored in a separate EU region (AWS EU-West-2), quarterly recovery testing, and full DR failover test completed March 2025 — all systems restored within 3.5 hours (within 4-hour RTO).",No immediate action required. Confirm that crisis management procedures are documented separately from the BCP and cover communication chains for regulatory and client notification during a major incident.
NIS2,Art.21-SC,Supply chain security,Partial,Medium,"Sub-processors are identified (AWS, Cloudflare, PagerDuty). DPA is signed with AWS. Annual security questionnaires are completed by suppliers. Contractual audit rights granted for material sub-processors. However, no evidence of a formal supply chain risk assessment programme addressing NIS2 supply chain security requirements is provided.",Conduct and document a formal supply chain risk assessment covering all sub-processors and ICT dependencies. Ensure contractual security requirements for all sub-processors explicitly reference NIS2 Article 21 obligations.
NIS2,Art.21-NIS,Network and information systems security — access control and vulnerability management,Compliant,Low,"RBAC, MFA, CyberArk PAM, quarterly access reviews, and separation of duties are confirmed in the SOC 2 report. Weekly Tenable.io vulnerability scans and annual penetration testing are in place. Critical CVEs remediated within 48 hours. SOC 2 CC7.1 test found no exceptions.","Provide evidence of network segmentation controls to fully demonstrate NIS2 network security requirements, as no explicit mention of network segmentation is present in the reviewed documents."
NIS2,Art.21-MFA,Multi-factor authentication,Compliant,Low,"Vendor questionnaire states MFA is enforced for all employee accounts, mandatory for remote access and privileged accounts. SOC 2 report confirms 'Multi-factor authentication (MFA) mandatory for all employees.' CC6.1 audit test found no exceptions.",No immediate action required. Confirm MFA enforcement extends to any administrative interfaces accessible by sub-processors or third parties.
NIS2,Art.21-CRYPT,Cryptography and encryption,Compliant,Low,AES-256 encryption at rest and TLS 1.3 in transit confirmed by both the vendor questionnaire and SOC 2 report. Backup encryption uses a separate key from production. Minor non-conformity on key rotation documentation was remediated within 30 days per the ISO 27001 certificate.,Provide the updated cryptographic key rotation procedure to confirm the remediated minor non-conformity is fully closed and documented.
NIS2,Art.21-HR,Human resources security and security awareness training,Compliant,Low,"Vendor questionnaire confirms annual mandatory security awareness training for all staff, role-specific training for IT personnel, and background checks for all employees with access to personal data.",Consider increasing training frequency or adding phishing simulation exercises to strengthen the security awareness programme beyond annual mandatory training.
CBW,CBW-REG,CBW applicability and NCSC registration,Compliant,Low,Vendor questionnaire states: 'NCSC Contact: Yes — registered contact point for NCSC notifications.' SOC 2 report confirms: 'Security incidents reported to Dutch NCSC per regulatory obligations.' Vendor is headquartered in Amsterdam and operates in financial services.,Confirm that the NCSC registration is current and that the designated contact point is included in the incident response plan with up-to-date contact details. Verify awareness of any sector-specific obligations under DNB supervision applicable to financial sector cloud service providers.
CBW,CBW-SECTOR,Sector authority compliance (DNB for financial services),Gap,High,"The vendor operates in financial services and processes client financial records. The vendor questionnaire notes DORA compliance alignment is being sought. However, no evidence is provided of engagement with or compliance assessment against Dutch sector authority requirements (e.g., DNB) applicable under the CBW for ICT service providers to the financial sector.",Assess and document whether CloudSafe Solutions B.V. falls within the scope of DNB supervisory requirements under the CBW and DORA. Engage with applicable sector authorities and document compliance status. Provide evidence of formal DORA readiness assessment given the financial sector client base.
CBW,CBW-IRP,Dutch-language incident reporting procedure,Gap,Medium,"The vendor references NCSC reporting and NIS2-compliant timelines, and confirms an NCSC contact point. However, no evidence of a Dutch-language incident reporting procedure or Dutch-specific reporting templates aligned to CBW requirements is present in any of the reviewed documents.","Develop and maintain a Dutch-language incident reporting procedure that covers NCSC notification requirements under the CBW, including the required reporting timelines and designated contact details."
